,Overseas,Known Local,Unknown Local,Under Investigation
12/03,1,0,0,0
13/03,0,0,0,0
14/03,0,0,0,0
15/03,0,0,0,0
16/03,1,0,0,0
17/03,0,0,0,0
18/03,1,0,0,0
19/03,1,0,0,0
20/03,2,0,0,0
21/03,3,0,0,0
22/03,9,1,0,0
23/03,12,1,0,0
24/03,7,0,0,0
25/03,4,1,0,0
26/03,8,1,0,0
27/03,7,2,0,0
28/03,7,1,0,1
29/03,3,2,0,1
30/03,1,0,0,0
31/03,3,0,0,-1
01/04,4,1,0,-1
02/04,2,0,0,1
03/04,2,2,0,0
04/04,1,1,0,0
05/04,1,1,0,0
