,Overseas,Known Local,Unknown Local,Under investigation
01/04,245,61,3,28
02/04,259,78,3,27
03/04,282,97,3,14
04/04,285,102,3,17
05/04,285,102,3,17
06/04,292,110,3,6
07/04,292,112,4,7
08/04,295,114,5,6
